# This file is generated on 26-Oct-2022 at 15:52:14 and contains for each site:
# att_oxy = attenuation due to oxygen (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to oxygen results are sorted acording to the site identification number:
#    _ 1 = Houston (Lat = 2.9560e+01 deg, Lon = -9.5100e+01 deg, Alt = 5.0000e-03 km)
# Stored values are organised as follow:
# Site number, Satellite number, freq (GHz), elev (deg), prob_elev, att_oxy (dB)
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 2.1478e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.1326e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 7.6780e-01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 5.8320e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 4.7280e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 4.0001e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 3.4890e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 3.1145e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 2.8319e-01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 2.6145e-01
