# This file is generated on 26-Oct-2022 at 15:52:14 and contains for each site, each satellite, frequency:
# att_rain = attenuation due to rain (dB); hr = mean rain height above sea level (km); R001 = Rain rate for 0.01 percente time of average year; k = k factor for rain attenuation; alpha = alpha factor for rain attenuation.
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Houston (Lat = 2.9560e+01 deg, Lon = -9.5100e+01 deg, Alt = 5.0000e-03 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), hr (km), R001 (mm/h), k, alpha, att_rain (dB)
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.0000e-03, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 2.4369e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 2.0000e-03, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 2.4283e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 5.0000e-03, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 2.3019e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 8.0000e-03, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 2.1914e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.0000e-02, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 2.1297e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.6000e-02, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 1.9829e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 2.7000e-02, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 1.7978e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 4.5000e-02, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 1.6010e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 7.7000e-02, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 1.3829e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.3000e-01, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 1.1639e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 2.1000e-01, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 9.6035e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 3.5000e-01, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 7.4272e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 6.0000e-01, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 5.1666e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 9.5000e-01, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 3.3573e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.7000e+00, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 2.3250e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 3.0000e+00, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 1.6354e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 5.1000e+00, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 1.1548e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 8.3000e+00, 4.4686e+00, 6.9525e+01, 3.8160e-01, 8.7222e-01, 8.2547e+00
