# This file is generated on 26-Oct-2022 at 15:52:14 and contains for each site, each satellite, frequency:
# att_scin_cdf_val = cdf value of attenuation due to scintillation (dB); att_scin_cdf_prob = cdf probability of attenuation due to scintillation (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to scintillation results are sorted acording to the site identification number:
#    _ 1 = Houston (Lat = 2.9560e+01 deg, Lon = -9.5100e+01 deg, Alt = 5.0000e-03 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_scin_cdf_val (dB), att_scin_cdf_prob (%)
1, 1, 3.7500e+01, 1.9772e+01, 1.0000e-03
1, 1, 3.7500e+01, 1.7712e+01, 2.0000e-03
1, 1, 3.7500e+01, 1.5285e+01, 5.0000e-03
1, 1, 3.7500e+01, 1.4157e+01, 8.0000e-03
1, 1, 3.7500e+01, 1.3648e+01, 1.0000e-02
1, 1, 3.7500e+01, 1.2624e+01, 1.6000e-02
1, 1, 3.7500e+01, 1.1559e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.0588e+01, 4.5000e-02
1, 1, 3.7500e+01, 9.6299e+00, 7.7000e-02
1, 1, 3.7500e+01, 8.7509e+00, 1.3000e-01
1, 1, 3.7500e+01, 7.9865e+00, 2.1000e-01
1, 1, 3.7500e+01, 7.2076e+00, 3.5000e-01
1, 1, 3.7500e+01, 6.4171e+00, 6.0000e-01
1, 1, 3.7500e+01, 5.7620e+00, 9.5000e-01
1, 1, 3.7500e+01, 4.9481e+00, 1.7000e+00
1, 1, 3.7500e+01, 4.1608e+00, 3.0000e+00
1, 1, 3.7500e+01, 3.4223e+00, 5.1000e+00
1, 1, 3.7500e+01, 2.7345e+00, 8.3000e+00
1, 1, 3.7500e+01, 2.2034e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.5239e+00, 1.9000e+01
1, 1, 3.7500e+01, 8.2428e-01, 3.0000e+01
1, 1, 3.7500e+01, 3.6878e-01, 4.0000e+01
1, 1, 3.7500e+01, -1.5076e-01, 5.5000e+01
1, 1, 3.7500e+01, -6.0405e-01, 7.2000e+01
1, 1, 3.7500e+01, -9.9009e-01, 9.0000e+01
1, 1, 3.7500e+01, -1.1580e+00, 9.9000e+01
1, 1, 3.7500e+01, 1.9772e+01, 1.0000e-03
1, 1, 3.7500e+01, 1.7712e+01, 2.0000e-03
1, 1, 3.7500e+01, 1.5285e+01, 5.0000e-03
1, 1, 3.7500e+01, 1.4157e+01, 8.0000e-03
1, 1, 3.7500e+01, 1.3648e+01, 1.0000e-02
1, 1, 3.7500e+01, 1.2624e+01, 1.6000e-02
1, 1, 3.7500e+01, 1.1559e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.0588e+01, 4.5000e-02
1, 1, 3.7500e+01, 9.6299e+00, 7.7000e-02
1, 1, 3.7500e+01, 8.7509e+00, 1.3000e-01
1, 1, 3.7500e+01, 7.9865e+00, 2.1000e-01
1, 1, 3.7500e+01, 7.2076e+00, 3.5000e-01
1, 1, 3.7500e+01, 6.4171e+00, 6.0000e-01
1, 1, 3.7500e+01, 5.7620e+00, 9.5000e-01
1, 1, 3.7500e+01, 4.9481e+00, 1.7000e+00
1, 1, 3.7500e+01, 4.1608e+00, 3.0000e+00
1, 1, 3.7500e+01, 3.4223e+00, 5.1000e+00
1, 1, 3.7500e+01, 2.7345e+00, 8.3000e+00
1, 1, 3.7500e+01, 2.2034e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.5239e+00, 1.9000e+01
1, 1, 3.7500e+01, 8.2428e-01, 3.0000e+01
1, 1, 3.7500e+01, 3.6878e-01, 4.0000e+01
1, 1, 3.7500e+01, -1.5076e-01, 5.5000e+01
1, 1, 3.7500e+01, -6.0405e-01, 7.2000e+01
1, 1, 3.7500e+01, -9.9009e-01, 9.0000e+01
1, 1, 3.7500e+01, -1.1580e+00, 9.9000e+01
1, 1, 3.7500e+01, 1.9772e+01, 1.0000e-03
1, 1, 3.7500e+01, 1.7712e+01, 2.0000e-03
1, 1, 3.7500e+01, 1.5285e+01, 5.0000e-03
1, 1, 3.7500e+01, 1.4157e+01, 8.0000e-03
1, 1, 3.7500e+01, 1.3648e+01, 1.0000e-02
