# This file is generated on 26-Oct-2022 at 15:52:14 and contains for each site, each satellite, frequency:
# att_comb_cdf_val = cdf value of total attenuation (dB); att_comb_cdf_prob = cdf probability of total attenuation(%).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Houston (Lat = 2.9560e+01 deg, Lon = -9.5100e+01 deg, Alt = 5.0000e-03 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_comb_cdf_val (dB), att_comb_cdf_prob ()
1, 1, 3.7500e+01, 2.9345e+02, 1.0000e-03
1, 1, 3.7500e+01, 2.9246e+02, 2.0000e-03
1, 1, 3.7500e+01, 2.7970e+02, 5.0000e-03
1, 1, 3.7500e+01, 2.6861e+02, 8.0000e-03
1, 1, 3.7500e+01, 2.6242e+02, 1.0000e-02
1, 1, 3.7500e+01, 2.4771e+02, 1.6000e-02
1, 1, 3.7500e+01, 2.2916e+02, 2.7000e-02
1, 1, 3.7500e+01, 2.0946e+02, 4.5000e-02
1, 1, 3.7500e+01, 1.8763e+02, 7.7000e-02
1, 1, 3.7500e+01, 1.6403e+02, 1.3000e-01
1, 1, 3.7500e+01, 1.4055e+02, 2.1000e-01
1, 1, 3.7500e+01, 1.1516e+02, 3.5000e-01
1, 1, 3.7500e+01, 8.8459e+01, 6.0000e-01
1, 1, 3.7500e+01, 6.5967e+01, 9.5000e-01
1, 1, 3.7500e+01, 5.0094e+01, 1.7000e+00
1, 1, 3.7500e+01, 3.6905e+01, 3.0000e+00
1, 1, 3.7500e+01, 2.5913e+01, 5.1000e+00
1, 1, 3.7500e+01, 1.8297e+01, 8.3000e+00
1, 1, 3.7500e+01, 1.3887e+01, 1.2000e+01
1, 1, 3.7500e+01, 9.9235e+00, 1.9000e+01
1, 1, 3.7500e+01, 7.3002e+00, 3.0000e+01
1, 1, 3.7500e+01, 6.3429e+00, 4.0000e+01
1, 1, 3.7500e+01, 5.5610e+00, 5.5000e+01
1, 1, 3.7500e+01, 5.2781e+00, 7.2000e+01
1, 1, 3.7500e+01, 5.2356e+00, 9.0000e+01
1, 1, 3.7500e+01, 5.2706e+00, 9.9000e+01
1, 1, 3.7500e+01, 2.9345e+02, 1.0000e-03
1, 1, 3.7500e+01, 2.9246e+02, 2.0000e-03
