# This file is generated on 26-Oct-2022 at 15:52:14 and contains for each site, each satellite, frequency:
# att_vap = attenuation due to water vapor (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to water vapor results are sorted acording to the site identification number:
#    _ 1 = Houston (Lat = 2.9560e+01 deg, Lon = -9.5100e+01 deg, Alt = 5.0000e-03 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), att_vap (dB)
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.4746e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 7.5484e-01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 5.0840e-01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 3.8525e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 3.1198e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 2.6379e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 2.3000e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 2.0526e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 1.8661e-01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 1.7226e-01
