# This file is generated on 26-Oct-2022 at 15:56:18 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Houston (Lat = 2.9560e+01 deg, Lon = -9.5100e+01 deg, Alt = 5.0000e-03 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.0000e-03, 1.4931e+02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.0000e-03, 1.3560e+02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 5.0000e-03, 1.1402e+02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 8.0000e-03, 1.0227e+02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.0000e-02, 9.6673e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.6000e-02, 8.5046e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.7000e-02, 7.2648e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 4.5000e-02, 6.1384e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 7.7000e-02, 5.0656e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.3000e-01, 4.1238e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.1000e-01, 3.3532e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.5000e-01, 2.6401e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 6.0000e-01, 1.9999e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.5000e-01, 1.5287e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.7000e+00, 1.1063e+01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.0000e+00, 7.8350e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 5.1000e+00, 5.4361e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 8.3000e+00, 3.8103e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.2000e+01, 2.8794e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.9000e+01, 2.0299e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.0000e+01, 1.4521e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 4.0000e+01, 1.2114e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 5.5000e+01, 1.0035e+00
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 7.2000e+01, 8.7940e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.0000e+01, 7.9812e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.9000e+01, 7.6902e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.0000e-03, 1.5040e+02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.0000e-03, 1.3675e+02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 5.0000e-03, 1.1516e+02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 8.0000e-03, 1.0335e+02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.0000e-02, 9.7719e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.6000e-02, 8.6005e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.7000e-02, 7.3488e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 4.5000e-02, 6.2096e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 7.7000e-02, 5.1225e+01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.3000e-01, 4.1675e+01
