# This file is generated on 02-Oct-2023 at 12:27:51 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 1.0000e-03, 8.8817e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 2.0000e-03, 7.9565e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 5.0000e-03, 6.8661e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 8.0000e-03, 6.3597e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 1.0000e-02, 6.1307e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 1.6000e-02, 5.6711e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 2.7000e-02, 5.1927e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 4.5000e-02, 4.7562e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 7.7000e-02, 4.3259e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 1.3000e-01, 3.9311e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 2.1000e-01, 3.5877e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 3.5000e-01, 3.2378e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 6.0000e-01, 2.8827e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 9.5000e-01, 2.5884e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 1.7000e+00, 2.2228e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 3.0000e+00, 1.8691e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 5.1000e+00, 1.5374e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 8.3000e+00, 1.2284e+00
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 1.2000e+01, 9.8980e-01
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 1.9000e+01, 6.8457e-01
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 3.0000e+01, 3.7028e-01
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 4.0000e+01, 1.6566e-01
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 5.5000e+01, -6.7725e-02
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 7.2000e+01, -2.7135e-01
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 9.0000e+01, -4.4477e-01
1, 1, 1.9700e+01, 5.0000e+00, 1.0000e+00, 9.9000e+01, -5.2021e-01
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 1.0000e-03, 3.8837e+00
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 2.0000e-03, 3.4792e+00
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 5.0000e-03, 3.0024e+00
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 8.0000e-03, 2.7809e+00
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 1.0000e-02, 2.6808e+00
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 1.6000e-02, 2.4798e+00
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 2.7000e-02, 2.2706e+00
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 4.5000e-02, 2.0797e+00
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 7.7000e-02, 1.8916e+00
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 1.3000e-01, 1.7189e+00
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 2.1000e-01, 1.5688e+00
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 3.5000e-01, 1.4158e+00
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 6.0000e-01, 1.2605e+00
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 9.5000e-01, 1.1318e+00
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 1.7000e+00, 9.7196e-01
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 3.0000e+00, 8.1731e-01
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 5.1000e+00, 6.7225e-01
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 8.3000e+00, 5.3714e-01
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 1.2000e+01, 4.3281e-01
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 1.9000e+01, 2.9934e-01
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 3.0000e+01, 1.6191e-01
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 4.0000e+01, 7.2440e-02
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 5.5000e+01, -2.9614e-02
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 7.2000e+01, -1.1865e-01
1, 2, 1.9700e+01, 1.0000e+01, 1.0000e+00, 9.0000e+01, -1.9448e-01
