# This file is generated on 02-Oct-2023 at 12:30:51 and contains for each site, each satellite, frequency:
# att_cld = attenuation due to clouds (dB); liq_cont = liquid water content (g/m^3).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), liq_cont (g/m^3), att_cld (dB)
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 1.0000e-03, 1.8548e+00, 7.9152e-01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 2.0000e-03, 1.8548e+00, 7.9152e-01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 5.0000e-03, 1.8548e+00, 7.9152e-01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 8.0000e-03, 1.8548e+00, 7.9152e-01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 1.0000e-02, 1.8548e+00, 7.9152e-01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 1.6000e-02, 1.8548e+00, 7.9152e-01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 2.7000e-02, 1.8548e+00, 7.9152e-01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 4.5000e-02, 1.8548e+00, 7.9152e-01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 7.7000e-02, 1.8548e+00, 7.9152e-01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 1.3000e-01, 1.7845e+00, 7.6152e-01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 2.1000e-01, 1.6574e+00, 7.0730e-01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 3.5000e-01, 1.5248e+00, 6.5069e-01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 6.0000e-01, 1.3630e+00, 5.8168e-01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 9.5000e-01, 1.2329e+00, 5.2613e-01
