# This file is generated on 02-Oct-2023 at 12:30:51 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 1.0000e-03, 2.7745e+01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 2.0000e-03, 2.3369e+01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 5.0000e-03, 1.7830e+01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 8.0000e-03, 1.5238e+01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 1.0000e-02, 1.4085e+01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 1.6000e-02, 1.1838e+01
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 2.7000e-02, 9.6413e+00
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 4.5000e-02, 7.8110e+00
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 7.7000e-02, 6.2098e+00
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 1.3000e-01, 4.9137e+00
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 2.1000e-01, 3.9284e+00
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 3.5000e-01, 3.0884e+00
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 6.0000e-01, 2.3887e+00
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 9.5000e-01, 1.9259e+00
1, 1, 1.9700e+01, 5.5000e+01, 1.0000e+00, 1.7000e+00, 1.4699e+00
