# This file is generated on 26-Aug-2022 at 13:58:53 and contains for each site, each satellite, frequency:
# att_rain = attenuation due to rain (dB); hr = mean rain height above sea level (km); R001 = Rain rate for 0.01 percente time of average year; k = k factor for rain attenuation; alpha = alpha factor for rain attenuation.
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), hr (km), R001 (mm/h), k, alpha, att_rain (dB)
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.0000e-03, 2.4346e+00, 3.6785e+01, 3.8160e-01, 8.7222e-01, 1.6988e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 2.0000e-03, 2.4346e+00, 3.6785e+01, 3.8160e-01, 8.7222e-01, 1.5147e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 5.0000e-03, 2.4346e+00, 3.6785e+01, 3.8160e-01, 8.7222e-01, 1.2397e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 8.0000e-03, 2.4346e+00, 3.6785e+01, 3.8160e-01, 8.7222e-01, 1.0949e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.0000e-02, 2.4346e+00, 3.6785e+01, 3.8160e-01, 8.7222e-01, 1.0269e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.6000e-02, 2.4346e+00, 3.6785e+01, 3.8160e-01, 8.7222e-01, 8.8762e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 2.7000e-02, 2.4346e+00, 3.6785e+01, 3.8160e-01, 8.7222e-01, 7.4183e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 4.5000e-02, 2.4346e+00, 3.6785e+01, 3.8160e-01, 8.7222e-01, 6.1188e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 7.7000e-02, 2.4346e+00, 3.6785e+01, 3.8160e-01, 8.7222e-01, 4.9051e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.3000e-01, 2.4346e+00, 3.6785e+01, 3.8160e-01, 8.7222e-01, 3.8821e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 2.1000e-01, 2.4346e+00, 3.6785e+01, 3.8160e-01, 8.7222e-01, 3.0843e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 3.5000e-01, 2.4346e+00, 3.6785e+01, 3.8160e-01, 8.7222e-01, 2.3740e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 6.0000e-01, 2.4346e+00, 3.6785e+01, 3.8160e-01, 8.7222e-01, 1.7678e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 9.5000e-01, 2.4346e+00, 3.6785e+01, 3.8160e-01, 8.7222e-01, 1.3542e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.7000e+00, 2.4346e+00, 3.6785e+01, 3.8160e-01, 8.7222e-01, 9.4713e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 3.0000e+00, 2.4346e+00, 3.6785e+01, 3.8160e-01, 8.7222e-01, 6.5389e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 5.1000e+00, 2.4346e+00, 3.6785e+01, 3.8160e-01, 8.7222e-01, 4.5376e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 8.3000e+00, 2.4346e+00, 3.6785e+01, 3.8160e-01, 8.7222e-01, 3.1922e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.2000e+01, 2.4346e+00, 3.6785e+01, 3.8160e-01, 8.7222e-01, 2.4207e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.9000e+01, 2.4346e+00, 3.6785e+01, 3.8160e-01, 8.7222e-01, 1.6933e+00
