# This file is generated on 26-Aug-2022 at 13:58:53 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.0000e-03, 1.9853e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 2.0000e-03, 1.8006e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 5.0000e-03, 1.5252e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 8.0000e-03, 1.3802e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.0000e-02, 1.3122e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.6000e-02, 1.1728e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 2.7000e-02, 1.0269e+02
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 4.5000e-02, 8.9682e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 7.7000e-02, 7.7535e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.3000e-01, 6.6358e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 2.1000e-01, 5.6678e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 3.5000e-01, 4.7796e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 6.0000e-01, 3.9565e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 9.5000e-01, 3.3681e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.7000e+00, 2.7193e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 3.0000e+00, 2.1739e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 5.1000e+00, 1.7182e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 8.3000e+00, 1.3373e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.2000e+01, 1.0794e+01
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.9000e+01, 7.8859e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 3.0000e+01, 5.6935e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 4.0000e+01, 4.9057e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 5.5000e+01, 4.2244e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 7.2000e+01, 4.1047e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 9.0000e+01, 4.2149e+00
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 9.9000e+01, 4.2883e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.0000e-03, 1.3618e+02
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 2.0000e-03, 1.2171e+02
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 5.0000e-03, 1.0088e+02
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 8.0000e-03, 9.0161e+01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.0000e-02, 8.5187e+01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.6000e-02, 7.5094e+01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 2.7000e-02, 6.4668e+01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 4.5000e-02, 5.5493e+01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 7.7000e-02, 4.7029e+01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.3000e-01, 3.9508e+01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 2.1000e-01, 3.3218e+01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 3.5000e-01, 2.7536e+01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 6.0000e-01, 2.2405e+01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 9.5000e-01, 1.8797e+01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.7000e+00, 1.4926e+01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 3.0000e+00, 1.1767e+01
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 5.1000e+00, 9.2074e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 8.3000e+00, 7.1218e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.2000e+01, 5.7324e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 1.9000e+01, 4.1879e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 3.0000e+01, 3.0330e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 4.0000e+01, 2.6165e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 5.5000e+01, 2.2527e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 7.2000e+01, 2.1573e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 9.0000e+01, 2.1757e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 9.9000e+01, 2.1978e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 1.0000e-03, 1.1010e+02
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 2.0000e-03, 9.7585e+01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 5.0000e-03, 7.9891e+01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 8.0000e-03, 7.0913e+01
