# This file is generated on 26-Aug-2022 at 13:58:53 and contains for each site, each satellite, frequency:
# att_vap = attenuation due to water vapor (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to water vapor results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), att_vap (dB)
1, 1, 3.7500e+01, 5.0000e+00, 1.0000e+00, 1.3398e+00
1, 2, 3.7500e+01, 1.0000e+01, 1.0000e+00, 6.8588e-01
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 4.6196e-01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 3.5007e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 2.8349e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 2.3970e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 2.0899e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 1.8651e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 1.6956e-01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 1.5653e-01
