# This file is generated on 26-Aug-2022 at 14:00:14 and contains for each site, each satellite, frequency:
# att_scin_cdf_val = cdf value of attenuation due to scintillation (dB); att_scin_cdf_prob = cdf probability of attenuation due to scintillation (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to scintillation results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_scin_cdf_val (dB), att_scin_cdf_prob (%)
1, 1, 3.7500e+01, 8.7881e-01, 1.0000e-03
1, 1, 3.7500e+01, 7.8726e-01, 2.0000e-03
1, 1, 3.7500e+01, 6.7937e-01, 5.0000e-03
1, 1, 3.7500e+01, 6.2926e-01, 8.0000e-03
1, 1, 3.7500e+01, 6.0661e-01, 1.0000e-02
1, 1, 3.7500e+01, 5.6113e-01, 1.6000e-02
1, 1, 3.7500e+01, 5.1380e-01, 2.7000e-02
1, 1, 3.7500e+01, 4.7061e-01, 4.5000e-02
1, 1, 3.7500e+01, 4.2803e-01, 7.7000e-02
1, 1, 3.7500e+01, 3.8896e-01, 1.3000e-01
1, 1, 3.7500e+01, 3.5499e-01, 2.1000e-01
1, 1, 3.7500e+01, 3.2037e-01, 3.5000e-01
1, 1, 3.7500e+01, 2.8523e-01, 6.0000e-01
1, 1, 3.7500e+01, 2.5611e-01, 9.5000e-01
1, 1, 3.7500e+01, 2.1994e-01, 1.7000e+00
1, 1, 3.7500e+01, 1.8494e-01, 3.0000e+00
1, 1, 3.7500e+01, 1.5212e-01, 5.1000e+00
1, 1, 3.7500e+01, 1.2154e-01, 8.3000e+00
1, 1, 3.7500e+01, 9.7937e-02, 1.2000e+01
1, 1, 3.7500e+01, 6.7735e-02, 1.9000e+01
1, 1, 3.7500e+01, 3.6638e-02, 3.0000e+01
1, 1, 3.7500e+01, 1.6392e-02, 4.0000e+01
1, 1, 3.7500e+01, -6.7011e-03, 5.5000e+01
1, 1, 3.7500e+01, -2.6849e-02, 7.2000e+01
1, 1, 3.7500e+01, -4.4008e-02, 9.0000e+01
1, 1, 3.7500e+01, -5.1473e-02, 9.9000e+01
1, 1, 3.7500e+01, 8.7881e-01, 1.0000e-03
1, 1, 3.7500e+01, 7.8726e-01, 2.0000e-03
1, 1, 3.7500e+01, 6.7937e-01, 5.0000e-03
1, 1, 3.7500e+01, 6.2926e-01, 8.0000e-03
1, 1, 3.7500e+01, 6.0661e-01, 1.0000e-02
1, 1, 3.7500e+01, 5.6113e-01, 1.6000e-02
1, 1, 3.7500e+01, 5.1380e-01, 2.7000e-02
1, 1, 3.7500e+01, 4.7061e-01, 4.5000e-02
1, 1, 3.7500e+01, 4.2803e-01, 7.7000e-02
1, 1, 3.7500e+01, 3.8896e-01, 1.3000e-01
1, 1, 3.7500e+01, 3.5499e-01, 2.1000e-01
1, 1, 3.7500e+01, 3.2037e-01, 3.5000e-01
1, 1, 3.7500e+01, 2.8523e-01, 6.0000e-01
1, 1, 3.7500e+01, 2.5611e-01, 9.5000e-01
1, 1, 3.7500e+01, 2.1994e-01, 1.7000e+00
1, 1, 3.7500e+01, 1.8494e-01, 3.0000e+00
1, 1, 3.7500e+01, 1.5212e-01, 5.1000e+00
1, 1, 3.7500e+01, 1.2154e-01, 8.3000e+00
1, 1, 3.7500e+01, 9.7937e-02, 1.2000e+01
1, 1, 3.7500e+01, 6.7735e-02, 1.9000e+01
1, 1, 3.7500e+01, 3.6638e-02, 3.0000e+01
1, 1, 3.7500e+01, 1.6392e-02, 4.0000e+01
