# This file is generated on 26-Aug-2022 at 14:00:14 and contains for each site, each satellite, frequency:
# att_comb_cdf_val = cdf value of total attenuation (dB); att_comb_cdf_prob = cdf probability of total attenuation(%).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_comb_cdf_val (dB), att_comb_cdf_prob ()
1, 1, 3.7500e+01, 6.5970e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.7242e+01, 2.0000e-03
1, 1, 3.7500e+01, 4.5419e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.9599e+01, 8.0000e-03
1, 1, 3.7500e+01, 3.6949e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.1669e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.6349e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.1779e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.7663e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4212e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1501e+01, 2.1000e-01
1, 1, 3.7500e+01, 9.1267e+00, 3.5000e-01
1, 1, 3.7500e+01, 7.0898e+00, 6.0000e-01
1, 1, 3.7500e+01, 5.7082e+00, 9.5000e-01
1, 1, 3.7500e+01, 4.3096e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2464e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.4493e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.8447e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.4612e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.0536e+00, 1.9000e+01
1, 1, 3.7500e+01, 7.5493e-01, 3.0000e+01
1, 1, 3.7500e+01, 6.4298e-01, 4.0000e+01
1, 1, 3.7500e+01, 5.4459e-01, 5.5000e+01
1, 1, 3.7500e+01, 5.0440e-01, 7.2000e+01
1, 1, 3.7500e+01, 4.8877e-01, 9.0000e+01
1, 1, 3.7500e+01, 4.8491e-01, 9.9000e+01
1, 1, 3.7500e+01, 6.5970e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.7242e+01, 2.0000e-03
1, 1, 3.7500e+01, 4.5419e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.9599e+01, 8.0000e-03
1, 1, 3.7500e+01, 3.6949e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.1669e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.6349e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.1779e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.7663e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4212e+01, 1.3000e-01
