# This file is generated on 02-Oct-2023 at 12:34:01 and contains for each site, each satellite, frequency:
# att_rain_cdf_val = cdf value of attenuation due to rain (dB); att_rain_cdf_prob = cdf probability of attenuation due to rain (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to rain results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_rain_cdf_val (dB), att_rain_cdf_prob (%)
1, 1, 3.9400e+01, 1.7803e+02, 1.0000e-03
1, 1, 3.9400e+01, 1.5900e+02, 2.0000e-03
1, 1, 3.9400e+01, 1.3041e+02, 5.0000e-03
1, 1, 3.9400e+01, 1.1530e+02, 8.0000e-03
1, 1, 3.9400e+01, 1.0820e+02, 1.0000e-02
1, 1, 3.9400e+01, 9.3631e+01, 1.6000e-02
1, 1, 3.9400e+01, 7.8349e+01, 2.7000e-02
1, 1, 3.9400e+01, 6.4702e+01, 4.5000e-02
1, 1, 3.9400e+01, 5.1933e+01, 7.7000e-02
1, 1, 3.9400e+01, 4.1153e+01, 1.3000e-01
1, 1, 3.9400e+01, 3.2732e+01, 2.1000e-01
1, 1, 3.9400e+01, 2.5225e+01, 3.5000e-01
1, 1, 3.9400e+01, 1.8807e+01, 6.0000e-01
1, 1, 3.9400e+01, 1.4423e+01, 9.5000e-01
1, 1, 3.9400e+01, 1.0101e+01, 1.7000e+00
1, 1, 3.9400e+01, 6.9830e+00, 3.0000e+00
1, 1, 3.9400e+01, 4.8519e+00, 5.1000e+00
1, 1, 3.9400e+01, 3.4172e+00, 8.3000e+00
1, 1, 3.9400e+01, 2.5936e+00, 1.2000e+01
1, 1, 3.9400e+01, 1.8162e+00, 1.9000e+01
1, 1, 3.9400e+01, 1.2571e+00, 3.0000e+01
1, 1, 3.9400e+01, 9.9001e-01, 4.0000e+01
1, 1, 3.9400e+01, 7.5520e-01, 5.5000e+01
1, 1, 3.9400e+01, 5.9751e-01, 7.2000e+01
1, 1, 3.9400e+01, 4.9035e-01, 9.0000e+01
1, 1, 3.9400e+01, 4.5020e-01, 9.9000e+01
1, 1, 3.9400e+01, 1.7803e+02, 1.0000e-03
1, 1, 3.9400e+01, 1.5900e+02, 2.0000e-03
1, 1, 3.9400e+01, 1.3041e+02, 5.0000e-03
1, 1, 3.9400e+01, 1.1530e+02, 8.0000e-03
1, 1, 3.9400e+01, 1.0820e+02, 1.0000e-02
1, 1, 3.9400e+01, 9.3631e+01, 1.6000e-02
1, 1, 3.9400e+01, 7.8349e+01, 2.7000e-02
1, 1, 3.9400e+01, 6.4702e+01, 4.5000e-02
1, 1, 3.9400e+01, 5.1933e+01, 7.7000e-02
1, 1, 3.9400e+01, 4.1153e+01, 1.3000e-01
