# This file is generated on 02-Oct-2023 at 12:35:58 and contains for each site, each satellite, frequency:
# att_rain = attenuation due to rain (dB); hr = mean rain height above sea level (km); R001 = Rain rate for 0.01 percente time of average year; k = k factor for rain attenuation; alpha = alpha factor for rain attenuation.
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), hr (km), R001 (mm/h), k, alpha, att_rain (dB)
1, 1, 3.9400e+01, 5.5000e+01, 1.0000e+00, 1.0000e-03, 2.4346e+00, 3.6785e+01, 4.2222e-01, 8.5896e-01, 6.6348e+01
1, 1, 3.9400e+01, 5.5000e+01, 1.0000e+00, 2.0000e-03, 2.4346e+00, 3.6785e+01, 4.2222e-01, 8.5896e-01, 5.7253e+01
1, 1, 3.9400e+01, 5.5000e+01, 1.0000e+00, 5.0000e-03, 2.4346e+00, 3.6785e+01, 4.2222e-01, 8.5896e-01, 4.4876e+01
1, 1, 3.9400e+01, 5.5000e+01, 1.0000e+00, 8.0000e-03, 2.4346e+00, 3.6785e+01, 4.2222e-01, 8.5896e-01, 3.8763e+01
1, 1, 3.9400e+01, 5.5000e+01, 1.0000e+00, 1.0000e-02, 2.4346e+00, 3.6785e+01, 4.2222e-01, 8.5896e-01, 3.5976e+01
1, 1, 3.9400e+01, 5.5000e+01, 1.0000e+00, 1.6000e-02, 2.4346e+00, 3.6785e+01, 4.2222e-01, 8.5896e-01, 3.0414e+01
1, 1, 3.9400e+01, 5.5000e+01, 1.0000e+00, 2.7000e-02, 2.4346e+00, 3.6785e+01, 4.2222e-01, 8.5896e-01, 2.4799e+01
1, 1, 3.9400e+01, 5.5000e+01, 1.0000e+00, 4.5000e-02, 2.4346e+00, 3.6785e+01, 4.2222e-01, 8.5896e-01, 1.9967e+01
1, 1, 3.9400e+01, 5.5000e+01, 1.0000e+00, 7.7000e-02, 2.4346e+00, 3.6785e+01, 4.2222e-01, 8.5896e-01, 1.5606e+01
1, 1, 3.9400e+01, 5.5000e+01, 1.0000e+00, 1.3000e-01, 2.4346e+00, 3.6785e+01, 4.2222e-01, 8.5896e-01, 1.2050e+01
1, 1, 3.9400e+01, 5.5000e+01, 1.0000e+00, 2.1000e-01, 2.4346e+00, 3.6785e+01, 4.2222e-01, 8.5896e-01, 9.3590e+00
1, 1, 3.9400e+01, 5.5000e+01, 1.0000e+00, 3.5000e-01, 2.4346e+00, 3.6785e+01, 4.2222e-01, 8.5896e-01, 7.0321e+00
1, 1, 3.9400e+01, 5.5000e+01, 1.0000e+00, 6.0000e-01, 2.4346e+00, 3.6785e+01, 4.2222e-01, 8.5896e-01, 5.1048e+00
1, 1, 3.9400e+01, 5.5000e+01, 1.0000e+00, 9.5000e-01, 2.4346e+00, 3.6785e+01, 4.2222e-01, 8.5896e-01, 3.8266e+00
1, 1, 3.9400e+01, 5.5000e+01, 1.0000e+00, 1.7000e+00, 2.4346e+00, 3.6785e+01, 4.2222e-01, 8.5896e-01, 2.6039e+00
1, 1, 3.9400e+01, 5.5000e+01, 1.0000e+00, 3.0000e+00, 2.4346e+00, 3.6785e+01, 4.2222e-01, 8.5896e-01, 1.7501e+00
1, 1, 3.9400e+01, 5.5000e+01, 1.0000e+00, 5.1000e+00, 2.4346e+00, 3.6785e+01, 4.2222e-01, 8.5896e-01, 1.1844e+00
1, 1, 3.9400e+01, 5.5000e+01, 1.0000e+00, 8.3000e+00, 2.4346e+00, 3.6785e+01, 4.2222e-01, 8.5896e-01, 8.1431e-01
1, 1, 3.9400e+01, 5.5000e+01, 1.0000e+00, 1.2000e+01, 2.4346e+00, 3.6785e+01, 4.2222e-01, 8.5896e-01, 6.0687e-01
1, 1, 3.9400e+01, 5.5000e+01, 1.0000e+00, 1.9000e+01, 2.4346e+00, 3.6785e+01, 4.2222e-01, 8.5896e-01, 4.1540e-01
